Wall time,Step,Value
1730863959.7389069,0,0.3127168118953705
1730863964.7226355,1,0.29364195466041565
1730863969.5861373,2,0.2949029505252838
1730863974.403758,3,0.2995653748512268
1730863979.284204,4,0.3007138967514038
1730863984.2424707,5,0.2950347065925598
1730863989.0986786,6,0.2888302803039551
1730863994.0937178,7,0.2900139093399048
1730863999.0979607,8,0.29472580552101135
1730864004.19656,9,0.297933965921402
1730864009.2689345,10,0.29405710101127625
1730864014.3878624,11,0.29187026619911194
1730864019.368021,12,0.2968639135360718
1730864024.3442607,13,0.29246899485588074
1730864029.3043096,14,0.2892618179321289
1730864034.3135965,15,0.2884465456008911
1730864039.2924132,16,0.2935281991958618
1730864044.3159647,17,0.2915935814380646
1730864049.3100767,18,0.2878158688545227
1730864054.3313398,19,0.28284725546836853
